total_cases,total_deaths,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,iso_code,continent
4484903.0,219365.0,28971116.0,87274660.0,30309065.0,28513427.0,28452168.0,PER,South America
4075611.0,66039.0,28472887.0,170366733.0,78444264.0,74009826.0,21589980.0,PHL,Asia
0.0,0.0,0.0,117.0,47.0,47.0,23.0,PCN,Oceania
6404036.0,118833.0,36962382.0,57903125.0,22869712.0,22641085.0,15277719.0,POL,Europe
5566708.0,26117.0,42825431.0,28106464.0,9779388.0,8893649.0,7043690.0,PRT,Europe
0.0,0.0,3019115.0,0.0,0.0,0.0,0.0,PRI,North America
493560.0,686.0,7574423.0,7606840.0,2851614.0,2851614.0,1903612.0,QAT,Asia
3335131.0,67675.0,21260367.0,16827486.0,8186546.0,8114769.0,0.0,ROU,Europe
21878868.0,387899.0,295244836.0,185641260.0,88329229.0,79532268.0,20018557.0,RUS,Europe
133170.0,1468.0,5534918.0,26106436.0,10572981.0,9897876.0,5879013.0,RWA,Africa
2166.0,0.0,0.0,7892.0,4361.0,3531.0,0.0,SHN,Africa
6596.0,46.0,94440.0,64297.0,33794.0,27000.0,3503.0,KNA,North America
29882.0,409.0,208560.0,122977.0,60140.0,54971.0,7866.0,LCA,North America
3452.0,2.0,0.0,0.0,0.0,0.0,0.0,SPM,North America
9589.0,123.0,108388.0,73374.0,37502.0,31610.0,4262.0,VCT,North America
16594.0,29.0,0.0,452831.0,191371.0,177885.0,82117.0,WSM,Oceania
23521.0,122.0,0.0,69338.0,26357.0,23633.0,19348.0,SMR,Europe
6281.0,77.0,4694.0,228291.0,127564.0,103963.0,33180.0,STP,Africa
829041.0,9606.0,43251385.0,68148406.0,26951666.0,25351683.0,10793985.0,SAU,Asia
0.0,0.0,0.0,13014285.0,4549556.0,4285946.0,3594835.0,OWID_SCT,Europe
88910.0,1988.0,1102099.0,2924037.0,2169105.0,1431298.0,726400.0,SEN,Africa
2486920.0,17783.0,9852899.0,8534688.0,3354075.0,3278198.0,1902412.0,SRB,Europe
50665.0,172.0,0.0,220018.0,85825.0,81732.0,44936.0,SYC,Africa
7760.0,126.0,428517.0,6553078.0,4569641.0,3702873.0,435021.0,SLE,Africa
2222006.0,1722.0,0.0,14727569.0,5160551.0,5120969.0,4440289.0,SGP,Asia
0.0,0.0,0.0,67068.0,29788.0,26749.0,9131.0,SXM,North America
2663896.0,21003.0,51238482.0,5754313.0,2595901.0,2577827.0,684026.0,SVK,Europe
1326046.0,7067.0,5336373.0,2996643.0,1265802.0,1222225.0,657967.0,SVN,Europe
24575.0,153.0,0.0,625956.0,343821.0,254352.0,27783.0,SLB,Oceania
27324.0,1361.0,501224.0,8726329.0,7729842.0,6529808.0,0.0,SOM,Africa
4061085.0,102595.0,25637671.0,38050611.0,23970891.0,21038797.0,3877516.0,ZAF,Africa
67823712.0,1348661.0,0.0,951722594.0,374733571.0,336240591.0,250152901.0,OWID_SAM,0
30458857.0,33887.0,100269452.0,129647782.0,44846351.0,44429788.0,41325954.0,KOR,Asia
18368.0,138.0,410280.0,2345851.0,2295561.0,2253582.0,0.0,SSD,Africa
13755956.0,119186.0,93162168.0,105459628.0,41342436.0,40729671.0,26510444.0,ESP,Europe
672023.0,16829.0,7691045.0,40116590.0,17143761.0,14752827.0,8220002.0,LKA,Asia
63775.0,5011.0,562941.0,16815648.0,11762534.0,9678116.0,2221312.0,SDN,Africa
82227.0,1400.0,84184.0,505699.0,267820.0,237879.0,48889.0,SUR,South America
2697159.0,23634.0,18407585.0,25655479.0,7818453.0,7635875.0,9886001.0,SWE,Europe
4411059.0,14244.0,21277734.0,16926060.0,6096132.0,6012429.0,4876829.0,CHE,Europe
57463.0,3164.0,175957.0,4971203.0,3209797.0,2257085.0,75881.0,SYR,Asia
9954456.0,17608.0,13021521.0,66949542.0,21865836.0,20724665.0,24359041.0,TWN,Asia
17786.0,125.0,0.0,18871161.0,5311967.0,5170582.0,5200841.0,TJK,Asia
42775.0,846.0,455776.0,35994687.0,31191545.0,29270881.0,7171363.0,TZA,Africa
4727831.0,33902.0,24733803.0,142635014.0,57005497.0,53486086.0,32143431.0,THA,Asia
23418.0,138.0,264839.0,2011703.0,883018.0,798020.0,330665.0,TLS,Asia
39367.0,290.0,749695.0,3398445.0,2244456.0,1554066.0,427804.0,TGO,Africa
0.0,0.0,0.0,5374.0,2203.0,2203.0,968.0,TKL,Oceania
16801.0,13.0,0.0,202720.0,87265.0,77008.0,38447.0,TON,Oceania
188737.0,4339.0,768404.0,1580898.0,753588.0,716898.0,168619.0,TTO,North America
1150793.0,29330.0,4647813.0,13243761.0,7217795.0,6398794.0,1255432.0,TUN,Africa
17042722.0,101492.0,163164533.0,152543341.0,57941051.0,53176961.0,41425329.0,TUR,Asia
0.0,0.0,0.0,8286809.0,3728004.0,3689171.0,434817.0,TKM,Asia
6551.0,38.0,0.0,73907.0,32815.0,30710.0,7443.0,TCA,North America
2828.0,0.0,0.0,25591.0,9603.0,9322.0,5528.0,TUV,Oceania
170478.0,3630.0,2749166.0,26299538.0,19488104.0,13023635.0,542628.0,UGA,Africa
5693215.0,119143.0,19288823.0,31668577.0,15774300.0,15153577.0,741197.0,UKR,Europe
1051241.0,2349.0,168522672.0,24922054.0,9991089.0,9792266.0,5138699.0,ARE,Asia
24341615.0,218405.0,503270347.0,151248820.0,53813491.0,50762968.0,40373987.0,GBR,Europe
103168534.0,1117820.0,912769124.0,670987625.0,269332266.0,229914797.0,132695867.0,USA,North America
0.0,0.0,115079.0,0.0,0.0,0.0,0.0,VIR,North America
144648046.0,2606076.0,0.0,5404041594.0,2107707863.0,1989016962.0,1253154937.0,OWID_UMC,0
1034046.0,7617.0,6086835.0,8935608.0,3006286.0,2898623.0,3030699.0,URY,South America
250873.0,1637.0,0.0,74976351.0,21674823.0,18101452.0,15319866.0,UZB,Asia
12014.0,14.0,11989.0,366638.0,176624.0,162250.0,27697.0,VUT,Oceania
29.0,0.0,0.0,0.0,0.0,0.0,0.0,VAT,Europe
551928.0,5852.0,0.0,37860994.0,22157232.0,14966671.0,651502.0,VEN,South America
11526834.0,43186.0,85824349.0,266211063.0,90457873.0,85928073.0,57743764.0,VNM,Asia
0.0,0.0,0.0,8609988.0,2591423.0,2474874.0,2076556.0,OWID_WLS,Europe
3427.0,7.0,0.0,18058.0,7150.0,6803.0,3766.0,WLF,Oceania
0.0,0.0,3943.0,0.0,0.0,0.0,0.0,ESH,Africa
674190917.0,6864113.0,0.0,13296027747.0,5545679784.0,5095588808.0,2734943405.0,OWID_WRL,0
11945.0,2159.0,336937.0,1242982.0,1006274.0,761003.0,59307.0,YEM,Asia
342782.0,4055.0,3514038.0,12722857.0,10802844.0,8683142.0,33684.0,ZMB,Africa
263642.0,5662.0,2379907.0,12222754.0,6437808.0,4751270.0,1033676.0,ZWE,Africa
